Pos,Age,MP,FG,FGA,FG%,PTS,height,weight,PER
SG,33.0,2310.0,434.0,1015.0,0.428,1244.0,198.0,99.0,17.1
SF,21.0,1931.0,300.0,672.0,0.446,792.0,206.0,102.0,13.0
PG,23.0,1807.0,182.0,454.0,0.401,521.0,188.0,86.0,10.7
C,27.0,1163.0,109.0,190.0,0.574,333.0,216.0,108.0,12.5
SG,22.0,2320.0,412.0,860.0,0.479,993.0,203.0,102.0,13.7
PF,22.0,383.0,56.0,151.0,0.371,140.0,208.0,102.0,8.5
C,31.0,261.0,12.0,31.0,0.387,34.0,193.0,88.0,3.7
C,31.0,115.0,8.0,23.0,0.348,16.0,193.0,88.0,0.9
SG,25.0,470.0,47.0,128.0,0.367,111.0,198.0,99.0,5.7
PG,22.0,2109.0,376.0,789.0,0.477,946.0,183.0,79.0,16.5
C,29.0,1557.0,182.0,309.0,0.589,439.0,208.0,115.0,13.1
PG,22.0,2569.0,369.0,830.0,0.445,959.0,185.0,79.0,13.9
PG,27.0,36.0,3.0,10.0,0.3,6.0,188.0,88.0,-2.4
PF,29.0,44.0,7.0,23.0,0.304,21.0,206.0,106.0,2.4
SG,22.0,691.0,81.0,253.0,0.32,223.0,190.0,83.0,7.5
SG,29.0,2460.0,496.0,1105.0,0.449,1425.0,196.0,90.0,18.4
PF,22.0,707.0,106.0,214.0,0.495,243.0,203.0,104.0,14.3
C,27.0,62.0,8.0,21.0,0.381,26.0,213.0,133.0,-1.9
PG,24.0,0.0,0.0,0.0,,0.0,190.0,86.0,
PG,21.0,2896.0,528.0,1143.0,0.462,1399.0,190.0,86.0,16.3
C,28.0,2124.0,285.0,523.0,0.545,667.0,211.0,115.0,16.8
C,34.0,1280.0,133.0,213.0,0.624,328.0,211.0,120.0,14.0
SF,29.0,937.0,124.0,249.0,0.498,288.0,198.0,90.0,9.6
PG,30.0,2523.0,412.0,1015.0,0.406,1145.0,190.0,94.0,17.4
PF,24.0,933.0,122.0,279.0,0.437,340.0,206.0,131.0,11.5
PF,25.0,8.0,2.0,4.0,0.5,5.0,211.0,122.0,33.3
SF,30.0,499.0,62.0,143.0,0.434,158.0,198.0,88.0,8.5
SF,21.0,915.0,137.0,295.0,0.464,349.0,211.0,99.0,12.8
SF,27.0,2279.0,299.0,732.0,0.408,825.0,198.0,104.0,12.9
SF,24.0,2651.0,473.0,1014.0,0.466,1230.0,206.0,99.0,16.1
SG,20.0,1664.0,255.0,512.0,0.498,662.0,201.0,100.0,12.5
PF,27.0,2906.0,373.0,773.0,0.483,925.0,203.0,113.0,12.8
SG,27.0,44.0,2.0,10.0,0.2,5.0,201.0,102.0,-3.7
PG,27.0,51.0,2.0,10.0,0.2,6.0,185.0,79.0,7.6
PG,27.0,25.0,1.0,6.0,0.167,3.0,185.0,79.0,7.9
PG,27.0,26.0,1.0,4.0,0.25,3.0,185.0,79.0,7.3
C,28.0,262.0,15.0,29.0,0.517,32.0,213.0,136.0,7.8
PG,29.0,971.0,129.0,324.0,0.398,364.0,190.0,88.0,11.6
PF,26.0,106.0,9.0,20.0,0.45,23.0,203.0,121.0,9.8
PF,26.0,54.0,5.0,11.0,0.455,11.0,203.0,121.0,11.5
PF,26.0,52.0,4.0,9.0,0.444,12.0,203.0,121.0,7.9
PG,23.0,1087.0,179.0,391.0,0.458,481.0,188.0,88.0,14.9
SF,23.0,1730.0,255.0,573.0,0.445,657.0,201.0,90.0,11.5
PG,23.0,1442.0,222.0,491.0,0.452,635.0,190.0,86.0,14.8
SF,24.0,1991.0,225.0,490.0,0.459,674.0,201.0,102.0,13.6
PG,27.0,2072.0,168.0,451.0,0.373,494.0,185.0,83.0,10.7
C,33.0,2438.0,561.0,1082.0,0.518,1395.0,211.0,113.0,24.7
SF,29.0,1486.0,229.0,558.0,0.41,666.0,190.0,81.0,13.1
SF,21.0,3239.0,794.0,1668.0,0.476,2472.0,206.0,108.0,26.2
SG,22.0,1384.0,190.0,448.0,0.424,505.0,193.0,90.0,9.6
SG,24.0,2647.0,631.0,1406.0,0.449,1631.0,190.0,83.0,16.7
C,33.0,66.0,5.0,15.0,0.333,12.0,213.0,106.0,5.5
C,33.0,62.0,4.0,13.0,0.308,10.0,213.0,106.0,5.4
C,33.0,4.0,1.0,2.0,0.5,2.0,213.0,106.0,6.3
SF,31.0,1317.0,175.0,393.0,0.445,453.0,196.0,99.0,12.2
PF,29.0,311.0,34.0,69.0,0.493,95.0,203.0,111.0,11.4
SG,20.0,2677.0,533.0,1165.0,0.458,1450.0,198.0,99.0,18.2
PG,23.0,1474.0,224.0,515.0,0.435,591.0,188.0,81.0,12.3
PG,25.0,2643.0,388.0,846.0,0.459,968.0,185.0,92.0,15.2
SG,24.0,1441.0,160.0,423.0,0.378,503.0,198.0,83.0,13.1
C,23.0,408.0,52.0,95.0,0.547,128.0,216.0,130.0,9.7
SF,36.0,709.0,81.0,184.0,0.44,202.0,201.0,97.0,9.0
SF,36.0,395.0,37.0,97.0,0.381,93.0,201.0,97.0,6.5
SF,36.0,314.0,44.0,87.0,0.506,109.0,201.0,97.0,12.1
PG,35.0,2227.0,212.0,558.0,0.38,615.0,185.0,90.0,9.3
PG,20.0,2339.0,397.0,952.0,0.417,1094.0,183.0,83.0,13.0
PG,26.0,1189.0,186.0,418.0,0.445,484.0,201.0,92.0,13.4
C,33.0,255.0,22.0,46.0,0.478,49.0,211.0,107.0,9.6
PG,26.0,1667.0,256.0,619.0,0.414,704.0,193.0,96.0,13.2
C,26.0,2190.0,317.0,703.0,0.451,904.0,211.0,115.0,15.0
C,31.0,314.0,39.0,89.0,0.438,88.0,211.0,108.0,10.5
PG,23.0,217.0,38.0,82.0,0.463,106.0,185.0,83.0,17.3
SF,21.0,2747.0,392.0,927.0,0.423,1221.0,208.0,102.0,14.8
SG,28.0,575.0,82.0,176.0,0.466,202.0,201.0,88.0,12.4
PF,33.0,2060.0,402.0,772.0,0.521,990.0,211.0,108.0,19.4
C,25.0,2469.0,378.0,651.0,0.581,1008.0,216.0,115.0,19.3
C,29.0,2403.0,452.0,844.0,0.536,1190.0,213.0,113.0,22.9
SF,23.0,3175.0,600.0,1288.0,0.466,1567.0,203.0,104.0,16.2
SG,22.0,182.0,28.0,59.0,0.475,81.0,198.0,102.0,16.2
SF,32.0,761.0,89.0,206.0,0.432,242.0,203.0,99.0,11.6
PG,23.0,1068.0,125.0,268.0,0.466,355.0,188.0,86.0,11.3
PF,24.0,2204.0,311.0,629.0,0.494,735.0,206.0,102.0,13.8
SF,24.0,239.0,28.0,60.0,0.467,69.0,216.0,115.0,9.2
SF,24.0,99.0,9.0,21.0,0.429,24.0,216.0,115.0,7.3
SF,24.0,140.0,19.0,39.0,0.487,45.0,216.0,115.0,10.5
SF,25.0,5.0,1.0,1.0,1.0,2.0,206.0,83.0,30.9
SG,32.0,2150.0,398.0,903.0,0.441,1237.0,198.0,92.0,22.5
SF,27.0,2210.0,327.0,732.0,0.447,832.0,201.0,113.0,12.1
C-PF,28.0,1755.0,288.0,602.0,0.478,763.0,208.0,113.0,16.9
C,28.0,1030.0,157.0,336.0,0.467,408.0,208.0,113.0,16.1
PF,28.0,725.0,131.0,266.0,0.492,355.0,208.0,113.0,18.0
SG,26.0,1730.0,291.0,699.0,0.416,855.0,190.0,90.0,14.0
SG,21.0,2229.0,352.0,784.0,0.449,1045.0,193.0,97.0,14.1
C,25.0,1088.0,121.0,227.0,0.533,293.0,211.0,108.0,13.9
SF,27.0,759.0,105.0,202.0,0.52,266.0,201.0,102.0,10.6
SG,27.0,804.0,119.0,240.0,0.496,296.0,198.0,97.0,11.2
SF,26.0,2278.0,488.0,1139.0,0.428,1497.0,206.0,100.0,19.8
C,25.0,311.0,42.0,82.0,0.512,104.0,213.0,122.0,16.6
C,25.0,50.0,8.0,21.0,0.381,18.0,213.0,122.0,7.0
C,25.0,261.0,34.0,61.0,0.557,86.0,213.0,122.0,18.4
SG,22.0,115.0,15.0,39.0,0.385,40.0,206.0,100.0,12.3
PF,23.0,3043.0,485.0,1070.0,0.453,1239.0,196.0,88.0,13.8
SG,28.0,1553.0,248.0,543.0,0.457,638.0,193.0,90.0,12.8
SF,21.0,1630.0,244.0,553.0,0.441,647.0,211.0,102.0,11.6
SF,23.0,32.0,4.0,10.0,0.4,10.0,201.0,107.0,5.2
C,24.0,240.0,24.0,62.0,0.387,62.0,218.0,115.0,7.2
SG,22.0,317.0,40.0,76.0,0.526,99.0,198.0,99.0,11.6
SF,29.0,44.0,10.0,21.0,0.476,25.0,208.0,104.0,15.4
SG,31.0,1552.0,293.0,717.0,0.409,831.0,198.0,83.0,14.9
PF,24.0,511.0,81.0,225.0,0.36,246.0,206.0,113.0,14.6
SG,20.0,1738.0,233.0,578.0,0.403,753.0,196.0,99.0,14.0
PF,29.0,2195.0,448.0,1030.0,0.435,1276.0,206.0,104.0,16.8
PG,26.0,2221.0,356.0,884.0,0.403,1080.0,190.0,87.0,16.2
PF,26.0,96.0,11.0,30.0,0.367,29.0,198.0,108.0,7.2
PF,26.0,82.0,10.0,27.0,0.37,25.0,198.0,108.0,6.4
PF,26.0,14.0,1.0,3.0,0.333,4.0,198.0,108.0,11.9
PG,31.0,22.0,1.0,2.0,0.5,2.0,190.0,83.0,8.7
PG,31.0,5.0,0.0,1.0,0.0,0.0,190.0,83.0,9.3
PG,31.0,17.0,1.0,1.0,1.0,2.0,190.0,83.0,8.5
PF,29.0,2177.0,312.0,632.0,0.494,771.0,203.0,106.0,14.6
SF,30.0,1106.0,90.0,219.0,0.411,232.0,196.0,90.0,6.5
C,21.0,1904.0,312.0,666.0,0.468,723.0,216.0,111.0,13.8
C,26.0,1773.0,161.0,329.0,0.489,358.0,198.0,108.0,11.7
SF,28.0,1033.0,138.0,328.0,0.421,350.0,201.0,99.0,9.7
C,30.0,2355.0,276.0,491.0,0.562,704.0,213.0,121.0,16.1
C,30.0,1614.0,188.0,335.0,0.561,478.0,213.0,121.0,16.2
C,30.0,741.0,88.0,156.0,0.564,226.0,213.0,121.0,16.1
SG,27.0,813.0,136.0,311.0,0.437,357.0,190.0,83.0,11.5
SG,22.0,355.0,37.0,104.0,0.356,113.0,188.0,79.0,9.7
C,23.0,2035.0,387.0,782.0,0.495,946.0,218.0,122.0,16.2
PF,21.0,1691.0,289.0,522.0,0.554,689.0,218.0,122.0,15.2
C,27.0,2755.0,421.0,717.0,0.587,1135.0,211.0,113.0,18.9
PG,23.0,2276.0,353.0,738.0,0.478,964.0,190.0,85.0,14.7
SF,37.0,2430.0,336.0,703.0,0.478,912.0,203.0,102.0,14.0
PF,22.0,624.0,99.0,201.0,0.493,244.0,208.0,106.0,15.0
PF,22.0,252.0,41.0,92.0,0.446,97.0,208.0,106.0,14.0
PF,22.0,372.0,58.0,109.0,0.532,147.0,208.0,106.0,15.7
SG,29.0,2481.0,308.0,753.0,0.409,805.0,193.0,86.0,11.6
PG,19.0,1767.0,230.0,520.0,0.442,587.0,193.0,92.0,12.3
C,25.0,1223.0,169.0,303.0,0.558,447.0,213.0,108.0,11.0
C,23.0,2845.0,467.0,847.0,0.551,1148.0,208.0,111.0,19.4
PG-SG,31.0,1217.0,173.0,455.0,0.38,473.0,185.0,81.0,10.5
PG,31.0,846.0,129.0,322.0,0.401,358.0,185.0,81.0,11.9
SG,31.0,371.0,44.0,133.0,0.331,115.0,185.0,81.0,7.3
C,24.0,2843.0,510.0,834.0,0.612,1503.0,211.0,120.0,24.0
SF,29.0,918.0,157.0,388.0,0.405,446.0,201.0,95.0,12.7
SF,29.0,827.0,137.0,342.0,0.401,388.0,201.0,95.0,12.0
SF,29.0,91.0,20.0,46.0,0.435,58.0,201.0,95.0,19.2
C,36.0,1632.0,191.0,375.0,0.509,437.0,206.0,108.0,10.0
PG,25.0,131.0,21.0,53.0,0.396,58.0,190.0,86.0,13.2
PG,25.0,70.0,7.0,18.0,0.389,22.0,190.0,86.0,8.7
PG,25.0,61.0,14.0,35.0,0.4,36.0,190.0,86.0,18.3
SG,31.0,1115.0,137.0,386.0,0.355,411.0,196.0,83.0,12.0
SG,31.0,820.0,102.0,279.0,0.366,297.0,196.0,83.0,12.3
SG,31.0,295.0,35.0,107.0,0.327,114.0,196.0,83.0,11.1
PF,24.0,1221.0,180.0,408.0,0.441,487.0,206.0,106.0,15.1
PF,24.0,315.0,53.0,115.0,0.461,131.0,206.0,106.0,14.8
PF,24.0,906.0,127.0,293.0,0.433,356.0,206.0,106.0,15.1
C,25.0,783.0,109.0,217.0,0.502,270.0,211.0,108.0,12.2
PG,39.0,122.0,5.0,30.0,0.167,13.0,188.0,77.0,-2.2
SF,23.0,33.0,4.0,12.0,0.333,11.0,203.0,102.0,7.9
C,28.0,158.0,17.0,43.0,0.395,53.0,213.0,99.0,11.6
PF,20.0,1323.0,201.0,370.0,0.543,461.0,208.0,106.0,15.2
SF,26.0,3193.0,496.0,1120.0,0.443,1401.0,198.0,97.0,17.8
C,34.0,1339.0,194.0,438.0,0.443,474.0,221.0,107.0,11.9
C,29.0,355.0,48.0,103.0,0.466,105.0,198.0,97.0,11.6
PF,22.0,1898.0,323.0,729.0,0.443,840.0,208.0,106.0,15.7
SG-PG,34.0,865.0,136.0,316.0,0.43,385.0,183.0,74.0,13.4
PG,34.0,67.0,15.0,26.0,0.577,37.0,183.0,74.0,16.9
SG,34.0,798.0,121.0,290.0,0.417,348.0,183.0,74.0,13.1
SG,28.0,326.0,35.0,83.0,0.422,93.0,190.0,90.0,11.0
SG,28.0,236.0,26.0,55.0,0.473,70.0,190.0,90.0,12.6
SG,28.0,90.0,9.0,28.0,0.321,23.0,190.0,90.0,6.8
PG,26.0,2243.0,323.0,671.0,0.481,931.0,190.0,90.0,16.3
PG,23.0,74.0,6.0,20.0,0.3,20.0,190.0,86.0,5.5
PG,23.0,10.0,0.0,2.0,0.0,1.0,190.0,86.0,-6.6
PG,23.0,25.0,2.0,7.0,0.286,7.0,190.0,86.0,19.2
PG,23.0,39.0,4.0,11.0,0.364,12.0,190.0,86.0,-0.2
PF,24.0,123.0,9.0,30.0,0.3,23.0,206.0,114.0,-0.1
PF,24.0,114.0,8.0,25.0,0.32,21.0,206.0,114.0,0.4
PF,24.0,9.0,1.0,5.0,0.2,2.0,206.0,114.0,-6.3
SG-PF,31.0,3129.0,600.0,1418.0,0.423,1667.0,190.0,83.0,15.6
PF,31.0,300.0,56.0,133.0,0.421,149.0,190.0,83.0,14.5
SG,31.0,2829.0,544.0,1285.0,0.423,1518.0,190.0,83.0,15.7
SF,25.0,2966.0,768.0,1528.0,0.503,2258.0,203.0,113.0,31.1
PG,34.0,46.0,6.0,20.0,0.3,18.0,188.0,85.0,5.5
PF,33.0,2406.0,478.0,1036.0,0.461,1235.0,203.0,101.0,17.3
PF,33.0,1595.0,315.0,700.0,0.45,840.0,203.0,101.0,17.5
PF,33.0,811.0,163.0,336.0,0.485,395.0,203.0,101.0,16.7
C,23.0,412.0,49.0,111.0,0.441,124.0,208.0,127.0,11.0
SG,24.0,73.0,12.0,29.0,0.414,37.0,196.0,90.0,13.6
C,25.0,2463.0,560.0,1125.0,0.498,1301.0,208.0,131.0,19.0
SF,29.0,2520.0,362.0,775.0,0.467,994.0,201.0,105.0,13.1
PF-SF,28.0,1794.0,138.0,314.0,0.439,372.0,211.0,104.0,9.8
PF,28.0,1462.0,102.0,230.0,0.443,284.0,211.0,104.0,9.7
SF,28.0,332.0,36.0,84.0,0.429,88.0,211.0,104.0,10.1
PG,20.0,2671.0,451.0,1216.0,0.371,1270.0,185.0,77.0,14.5
PF,22.0,2232.0,290.0,603.0,0.481,741.0,208.0,104.0,13.9
PF,22.0,1655.0,227.0,563.0,0.403,623.0,213.0,108.0,12.3
PF,22.0,1453.0,208.0,334.0,0.623,511.0,206.0,108.0,16.7
PG,35.0,406.0,49.0,111.0,0.441,130.0,196.0,97.0,12.4
PF,22.0,757.0,95.0,210.0,0.452,256.0,206.0,113.0,10.4
SG,28.0,2886.0,635.0,1386.0,0.458,1619.0,201.0,90.0,19.3
SF,29.0,1892.0,287.0,623.0,0.461,776.0,190.0,83.0,10.8
PF,26.0,7.0,0.0,0.0,,0.0,208.0,95.0,1.4
SF,29.0,503.0,43.0,119.0,0.361,146.0,190.0,81.0,8.8
C,25.0,675.0,78.0,176.0,0.443,207.0,208.0,104.0,9.9
C,21.0,1137.0,144.0,238.0,0.605,336.0,211.0,120.0,12.7
C,27.0,2608.0,589.0,1202.0,0.49,1408.0,213.0,120.0,16.5
SF,28.0,976.0,126.0,301.0,0.419,324.0,203.0,96.0,8.4
SF-SG,26.0,113.0,11.0,32.0,0.344,28.0,196.0,97.0,5.1
SG,26.0,5.0,0.0,0.0,,0.0,196.0,97.0,-38.1
SF,26.0,108.0,11.0,32.0,0.344,28.0,196.0,97.0,7.1
PG,36.0,2881.0,284.0,671.0,0.423,824.0,193.0,92.0,17.2
SF,28.0,1681.0,244.0,482.0,0.506,688.0,206.0,99.0,18.2
SG,28.0,952.0,138.0,280.0,0.493,374.0,201.0,96.0,13.9
C,20.0,172.0,22.0,47.0,0.468,53.0,213.0,120.0,7.7
C,26.0,1741.0,281.0,560.0,0.502,639.0,213.0,108.0,13.7
SG,25.0,22.0,3.0,6.0,0.5,7.0,188.0,86.0,12.8
PF,26.0,2469.0,499.0,931.0,0.536,1343.0,206.0,112.0,19.0
PF,26.0,1415.0,302.0,552.0,0.547,839.0,206.0,112.0,21.1
PF,26.0,1054.0,197.0,379.0,0.52,504.0,206.0,112.0,16.0
SF,24.0,111.0,16.0,43.0,0.372,44.0,201.0,104.0,7.2
SF,24.0,108.0,16.0,41.0,0.39,44.0,201.0,104.0,8.1
SF,24.0,3.0,0.0,2.0,0.0,0.0,201.0,104.0,-26.8
PG,25.0,234.0,35.0,75.0,0.467,113.0,190.0,88.0,16.0
PG,25.0,66.0,9.0,14.0,0.643,31.0,190.0,88.0,21.3
PG,25.0,33.0,5.0,16.0,0.313,16.0,190.0,88.0,7.5
PG,25.0,135.0,21.0,45.0,0.467,66.0,190.0,88.0,15.4
PG,22.0,1318.0,201.0,390.0,0.515,542.0,180.0,88.0,16.4
SG,24.0,2375.0,338.0,775.0,0.436,885.0,196.0,90.0,12.8
C,26.0,3019.0,686.0,1258.0,0.545,1640.0,201.0,102.0,22.2
PF,30.0,2369.0,350.0,805.0,0.435,1013.0,198.0,90.0,14.0
PG,24.0,796.0,104.0,201.0,0.517,250.0,201.0,87.0,12.8
PG,24.0,130.0,5.0,16.0,0.313,10.0,201.0,87.0,4.7
PG,24.0,666.0,99.0,185.0,0.535,240.0,201.0,87.0,14.4
C,21.0,3027.0,563.0,1129.0,0.499,1542.0,213.0,124.0,20.1
C,21.0,986.0,171.0,291.0,0.588,430.0,213.0,115.0,17.6
PF,21.0,1714.0,291.0,646.0,0.45,842.0,208.0,113.0,20.7
PG,23.0,1651.0,184.0,464.0,0.397,620.0,183.0,92.0,15.5
PF,30.0,2081.0,457.0,886.0,0.516,1387.0,198.0,98.0,20.3
C,31.0,359.0,28.0,56.0,0.5,77.0,211.0,117.0,9.4
C,23.0,165.0,35.0,55.0,0.636,101.0,211.0,113.0,21.6
SF,31.0,2385.0,395.0,778.0,0.508,898.0,201.0,99.0,14.7
C,34.0,75.0,4.0,8.0,0.5,10.0,208.0,113.0,9.0
SF,25.0,390.0,50.0,136.0,0.368,141.0,201.0,99.0,9.0
SF,25.0,276.0,32.0,88.0,0.364,90.0,201.0,99.0,7.3
SF,25.0,114.0,18.0,48.0,0.375,51.0,201.0,99.0,13.2
PF,32.0,1986.0,283.0,620.0,0.456,667.0,206.0,106.0,13.4
SG,26.0,1633.0,289.0,693.0,0.417,946.0,206.0,106.0,17.0
SG,26.0,774.0,135.0,339.0,0.398,436.0,206.0,106.0,17.0
SG,26.0,859.0,154.0,354.0,0.435,510.0,206.0,106.0,17.1
SF,32.0,66.0,5.0,12.0,0.417,13.0,201.0,101.0,6.2
SG,29.0,1515.0,193.0,496.0,0.389,501.0,196.0,90.0,9.7
SG,23.0,2025.0,273.0,565.0,0.483,769.0,185.0,77.0,12.3
C,26.0,1550.0,212.0,415.0,0.511,513.0,201.0,117.0,14.0
C,25.0,331.0,51.0,111.0,0.459,123.0,206.0,120.0,11.7
PG,22.0,1269.0,154.0,368.0,0.418,382.0,190.0,79.0,11.8
PG,22.0,363.0,52.0,133.0,0.391,134.0,190.0,79.0,12.3
PG,22.0,906.0,102.0,235.0,0.434,248.0,190.0,79.0,11.6
SG,22.0,3113.0,542.0,1183.0,0.458,1432.0,201.0,99.0,14.6
PF,23.0,1866.0,177.0,369.0,0.48,453.0,201.0,99.0,11.8
PF,35.0,1617.0,205.0,428.0,0.479,446.0,206.0,99.0,12.2
C,22.0,968.0,156.0,307.0,0.508,386.0,213.0,122.0,17.0
SG,30.0,673.0,91.0,235.0,0.387,245.0,203.0,95.0,12.2
SG,30.0,46.0,7.0,19.0,0.368,19.0,203.0,95.0,12.4
SG,30.0,627.0,84.0,216.0,0.389,226.0,203.0,95.0,12.2
SF,24.0,307.0,19.0,52.0,0.365,38.0,206.0,99.0,3.8
SF,24.0,240.0,15.0,40.0,0.375,30.0,206.0,99.0,4.2
SF,24.0,67.0,4.0,12.0,0.333,8.0,206.0,99.0,2.4
C,22.0,524.0,76.0,146.0,0.521,179.0,208.0,108.0,14.8
SG,22.0,719.0,104.0,268.0,0.388,281.0,193.0,95.0,10.8
SG,22.0,486.0,64.0,177.0,0.362,169.0,193.0,95.0,8.4
SG,22.0,233.0,40.0,91.0,0.44,112.0,193.0,95.0,15.8
PF,26.0,120.0,13.0,33.0,0.394,39.0,206.0,108.0,11.4
PF,26.0,13.0,1.0,4.0,0.25,5.0,206.0,108.0,15.2
PF,26.0,107.0,12.0,29.0,0.414,34.0,206.0,108.0,11.0
SF,22.0,1497.0,241.0,562.0,0.429,622.0,185.0,79.0,10.8
C,24.0,685.0,100.0,204.0,0.49,215.0,213.0,113.0,12.8
C,24.0,71.0,8.0,17.0,0.471,16.0,213.0,113.0,12.1
C,24.0,614.0,92.0,187.0,0.492,199.0,213.0,113.0,12.9
PG,33.0,2500.0,404.0,908.0,0.445,1146.0,206.0,102.0,18.1
C,33.0,1950.0,250.0,581.0,0.43,719.0,211.0,110.0,12.9
SG,29.0,1805.0,217.0,433.0,0.501,586.0,203.0,98.0,13.9
PG,21.0,38.0,10.0,24.0,0.417,26.0,203.0,111.0,11.9
PF,24.0,2277.0,385.0,716.0,0.538,954.0,203.0,111.0,16.7
C,32.0,984.0,189.0,342.0,0.553,459.0,208.0,100.0,19.6
SF,29.0,1052.0,114.0,247.0,0.462,296.0,203.0,92.0,12.6
C,34.0,406.0,54.0,90.0,0.6,115.0,211.0,102.0,11.2
PF,24.0,124.0,23.0,41.0,0.561,62.0,208.0,120.0,14.6
SF,25.0,241.0,32.0,85.0,0.376,74.0,203.0,92.0,7.4
SG,24.0,2018.0,329.0,703.0,0.468,899.0,196.0,95.0,14.0
PF,20.0,54.0,7.0,19.0,0.368,14.0,213.0,124.0,0.7
PF,29.0,2344.0,384.0,813.0,0.472,1050.0,211.0,111.0,18.0
SG,30.0,1673.0,268.0,683.0,0.392,746.0,193.0,86.0,11.7
SG,30.0,993.0,160.0,411.0,0.389,454.0,193.0,86.0,11.4
SG,30.0,680.0,108.0,272.0,0.397,292.0,193.0,86.0,12.1
PF,33.0,685.0,62.0,146.0,0.425,157.0,203.0,108.0,8.4
PF,33.0,204.0,20.0,53.0,0.377,49.0,203.0,108.0,7.0
PF,33.0,481.0,42.0,93.0,0.452,108.0,203.0,108.0,9.1
PG,35.0,2660.0,499.0,985.0,0.507,1333.0,190.0,88.0,21.6
PG,27.0,1860.0,317.0,706.0,0.449,818.0,183.0,86.0,15.5
C,33.0,413.0,81.0,149.0,0.544,163.0,213.0,112.0,16.0
C,24.0,1925.0,262.0,520.0,0.504,687.0,211.0,104.0,17.9
SF,30.0,1477.0,234.0,587.0,0.399,635.0,201.0,102.0,11.1
SF,26.0,362.0,42.0,108.0,0.389,113.0,208.0,102.0,8.3
PF,31.0,3039.0,720.0,1496.0,0.481,2027.0,213.0,111.0,22.9
C,23.0,51.0,8.0,15.0,0.533,19.0,213.0,117.0,9.9
C,31.0,1991.0,394.0,745.0,0.529,950.0,211.0,102.0,17.9
C,37.0,1240.0,262.0,463.0,0.566,636.0,216.0,147.0,17.9
C,34.0,650.0,35.0,56.0,0.625,83.0,208.0,111.0,5.7
C,22.0,502.0,92.0,152.0,0.605,233.0,213.0,113.0,23.1
PF,30.0,2585.0,342.0,739.0,0.463,882.0,208.0,99.0,15.9
C,27.0,2370.0,348.0,656.0,0.53,850.0,208.0,114.0,16.5
C,30.0,2149.0,355.0,775.0,0.458,988.0,211.0,112.0,15.6
PG,37.0,263.0,18.0,45.0,0.4,44.0,193.0,88.0,7.0
SF,25.0,730.0,110.0,281.0,0.391,309.0,206.0,95.0,13.3
SF,25.0,231.0,38.0,101.0,0.376,109.0,206.0,95.0,14.8
SF,25.0,499.0,72.0,180.0,0.4,200.0,206.0,95.0,12.6
C,25.0,1089.0,120.0,246.0,0.488,333.0,211.0,122.0,13.1
PG,30.0,829.0,132.0,381.0,0.346,344.0,185.0,79.0,8.9
SG,34.0,2289.0,206.0,475.0,0.434,595.0,198.0,97.0,9.9
PG,27.0,1728.0,349.0,716.0,0.487,894.0,188.0,83.0,16.4
PG,24.0,1712.0,314.0,637.0,0.493,841.0,183.0,79.0,23.7
SF,26.0,877.0,109.0,300.0,0.363,263.0,211.0,122.0,5.4
C,24.0,447.0,77.0,188.0,0.41,197.0,213.0,105.0,12.0
C,25.0,2154.0,314.0,522.0,0.602,791.0,208.0,122.0,15.0
SG,32.0,973.0,116.0,301.0,0.385,327.0,201.0,98.0,9.3
C,24.0,436.0,54.0,101.0,0.535,122.0,213.0,112.0,10.7
SF,32.0,2411.0,409.0,867.0,0.472,1296.0,201.0,106.0,18.2
SF,27.0,1687.0,233.0,539.0,0.432,651.0,198.0,97.0,11.9
SF,33.0,1731.0,126.0,345.0,0.365,399.0,203.0,97.0,8.7
SF,26.0,236.0,21.0,49.0,0.429,79.0,203.0,108.0,10.2
PF,27.0,581.0,71.0,194.0,0.366,169.0,206.0,102.0,6.7
PG,23.0,865.0,145.0,354.0,0.41,410.0,213.0,124.0,14.0
PG,26.0,806.0,98.0,242.0,0.405,255.0,188.0,86.0,10.3
SF,29.0,1664.0,282.0,580.0,0.486,661.0,206.0,96.0,16.0
C,30.0,681.0,45.0,86.0,0.523,123.0,216.0,115.0,11.2
PG,26.0,223.0,20.0,56.0,0.357,56.0,188.0,83.0,9.3
PF,29.0,891.0,103.0,273.0,0.377,256.0,208.0,102.0,7.9
PF,29.0,133.0,14.0,42.0,0.333,39.0,208.0,102.0,8.0
PF,29.0,758.0,89.0,231.0,0.385,217.0,208.0,102.0,7.9
C,20.0,749.0,137.0,309.0,0.443,384.0,208.0,92.0,18.7
PF,26.0,53.0,6.0,18.0,0.333,14.0,208.0,108.0,6.2
PF,26.0,47.0,5.0,15.0,0.333,10.0,208.0,108.0,4.9
PF,26.0,6.0,1.0,3.0,0.333,4.0,208.0,108.0,16.5
PF,28.0,3051.0,652.0,1336.0,0.488,1681.0,206.0,117.0,21.2
C,36.0,807.0,70.0,152.0,0.461,178.0,208.0,102.0,10.3
C,36.0,183.0,16.0,36.0,0.444,34.0,208.0,102.0,7.8
C,36.0,624.0,54.0,116.0,0.466,144.0,208.0,102.0,11.0
SG,30.0,492.0,75.0,213.0,0.352,215.0,198.0,99.0,12.1
SG,25.0,1808.0,243.0,553.0,0.439,788.0,188.0,86.0,15.0
PF,25.0,224.0,15.0,29.0,0.517,37.0,206.0,122.0,6.5
